name,en_US,ja_JP,ko_KR,cn_CN
cats_bake.info.success,Success! Textures and model saved to 'CATS Bake' folder next to your .blend file.,,,烘焙成功！纹理及模型已保存至 blend 文件同级目录的 CATS Bake 文件夹中
cats_bake.tutorial_button.label,How to use,,사용법,使用方法
cats_bake.tutorial_button.desc,This will open the Cats wiki page for the Bake panel,,,打开 CATS 插件烘焙面板的官方维基文档
cats_bake.tutorial_button.URL,https://github.com/GiveMeAllYourCats/cats-blender-plugin/wiki/Bake,,,https://github.com/GiveMeAllYourCats/cats-blender-plugin/wiki/Bake
cats_bake.tutorial_button.success,Bake Tutorial opened.,,,烘焙教程页面已打开
CheckForUpdateButton.label,Check now for Update,今すぐアップデートを確認,업데이트 체크,立即检查更新
CheckForUpdateButton.desc,Checks if a new update is available for CATS,,,检查 CATS 插件是否有可用更新
UpdateToLatestButton.label,Update Now,今すぐアップデート,지금 업데이트,立即更新
UpdateToLatestButton.desc,Update CATS to the latest version,,,将 CATS 插件更新至最新版本
UpdateToSelectedButton.label,Update to Selected version,選択したバージョンに更新,선택된 버전으로 업데이트,更新至选中版本
UpdateToSelectedButton.desc,Update CATS to the selected version,,,将 CATS 插件更新至选中的版本
UpdateToDevButton.label,Update to Development version,開発版に更新,개발버전으로 업데이트,更新至开发版
UpdateToDevButton.desc,Update CATS to the Development version,,,将 CATS 插件更新至开发版本
RemindMeLaterButton.label,Remind me later,後で通知する,나중에 다시보기,稍后提醒
RemindMeLaterButton.desc,This hides the update notification 'til the next Blender restart,,,隐藏更新通知，直至下次重启 Blender
RemindMeLaterButton.success,You will be reminded later,,,将在后续为你提醒更新
IgnoreThisVersionButton.label,Ignore this version,このバージョンを無視,이 버전은 무시하기,忽略此版本
IgnoreThisVersionButton.desc,This ignores this version. You will be reminded again when the next version releases,,,忽略当前更新版本。待下一版本发布时，将再次收到更新提醒
IgnoreThisVersionButton.success,Version {name} will be ignored.,,,已忽略版本 {name}。
ShowPatchnotesPanel.label,Patchnotes,パッチノート,패치노트,更新日志
ShowPatchnotesPanel.desc,Shows the patchnotes of the selected version,,,查看选中版本的更新日志
ShowPatchnotesPanel.releaseDate,Released: {date},,,发布日期：{date}
ConfirmUpdatePanel.label,Confirm Update,アップデートを確認,업데이트 확인,确认更新
ConfirmUpdatePanel.desc,This shows you a panel in which you have to confirm your update choice,,,弹出面板，供你确认更新选择
ConfirmUpdatePanel.warn.dev1,Warning:,,,警告：
ConfirmUpdatePanel.warn.dev2, The development version of CATS is the place where,,,CATS 插件的开发版本用于
ConfirmUpdatePanel.warn.dev3, we test new features and bug fixes.,,,测试新功能及漏洞修复
ConfirmUpdatePanel.warn.dev4, This version might be very unstable and some features,,,该版本可能存在严重的不稳定性
ConfirmUpdatePanel.warn.dev5, might not work correctly.,,,部分功能可能无法正常运行
ConfirmUpdatePanel.ShowPatchnotesPanel.label,Show Patchnotes,,패치노트 보기,查看更新日志
ConfirmUpdatePanel.updateNow,Update now:,,,立即更新：
UpdateCompletePanel.label,Installation Report,インストールレポート,설치 보고,安装报告
UpdateCompletePanel.desc,The update is now complete,,,更新已完成
UpdateCompletePanel.success1,CATS was successfully updated.,,,CATS 插件更新成功
UpdateCompletePanel.success2,Restart Blender to complete the update.,,,请重启 Blender 以完成更新
UpdateCompletePanel.failure1,Update failed.,,,更新失败
UpdateCompletePanel.failure2,See Updater Panel for more info.,,,更多信息请查看更新面板
UpdateNotificationPopup.label,Update available,アップデートが利用可能です,업데이트 가능,发现可用更新
UpdateNotificationPopup.desc,This shows you that an update is available,,,提示当前存在可用的插件更新
UpdateNotificationPopup.newUpdate,CATS v{name} available!,,,维护版已禁用在线更新：CATS v{name}
UpdateNotificationPopup.ShowPatchnotesPanel.label,Show Patchnotes,パッチノートを見る,패치노트 보기,查看更新日志
check_for_update.cantCheck,"Could not check for updates, try again later",,,更新检查失败，请稍后重试
download_file.cantConnect,Could not connect to Github,,,无法连接至 Github 服务器
download_file.cantFindZip,Could not find the downloaded zip,,,未找到下载的压缩包文件
download_file.cantFindCATS,Could not find CATS in the downloaded zip,,,在下载的压缩包中未找到 CATS 插件文件
draw_update_notification_panel.success,Restart Blender to complete update!,,,请重启 Blender 以完成更新！
draw_update_notification_panel.newUpdate,CATS v{name} available!,,,维护版已禁用在线更新：CATS v{name}
draw_update_notification_panel.UpdateToLatestButton.label,Update Now,今すぐアップデート,지금 업데이트,立即更新
draw_update_notification_panel.RemindMeLaterButton.label,Remind me later,後で通知する,나중에 다시보기,稍后提醒
draw_update_notification_panel.IgnoreThisVersionButton.label,Ignore this version,このバージョンを無視,이 버전은 무시하기,忽略此版本
draw_updater_panel.updateLabel,Updates:,,,更新面板：
draw_updater_panel.updateLabel_alt,CATS Updater:,,,CATS 插件更新器：
draw_updater_panel.success,Restart Blender to complete update!,,,请重启 Blender 以完成更新！
draw_updater_panel.CheckForUpdateButton.label,Checking..,チェック中..,확인 중..,正在检查更新..
draw_updater_panel.UpdateToLatestButton.label,Update now to {name},今すぐ{name}に更新する,{name}로 업데이트,更新至 {name}（维护版已禁用）
draw_updater_panel.CheckForUpdateButton.label_alt,Check now for Update,今すぐアップデートを確認,업데이트 확인하기,立即检查更新
draw_updater_panel.UpdateToLatestButton.label_alt,Up to Date!,最新の!,현재 최신 버전입니다!,当前为最新版本！
draw_updater_panel.UpdateToSelectedButton.label,Install version:,インストールバージョン:,설치버전:,安装版本：
draw_updater_panel.UpdateToDevButton.label,Install Development Version,開発バージョンのインストール,개발버전 설치,安装开发版本
draw_updater_panel.currentVersion,Current version: {name},,현재 버전: {name},当前版本：{name}
bpy.types.Scene.cats_updater_version_list.label,Version,バージョン,버전,版本选择
bpy.types.Scene.cats_updater_version_list.desc,"Select the version you want to install
",,,选择需要安装的插件版本
bpy.types.Scene.cats_update_action.label,Choose action,アクションを選択,액션 선택,选择操作
bpy.types.Scene.cats_update_action.desc,Action,,,操作选项
bpy.types.Scene.cats_update_action.update.label,Update Now,今すぐアップデート,지금 업데이트,立即更新
bpy.types.Scene.cats_update_action.update.desc,Updates now to the latest version,,,立即更新至最新版本
bpy.types.Scene.cats_update_action.ignore.label,Ignore this version,このバージョンを無視,이 버전은 무시하기,忽略此版本
bpy.types.Scene.cats_update_action.ignore.desc,This ignores this version. You will be reminded again when the next version releases,,,忽略当前更新版本。待下一版本发布时，将再次收到更新提醒
bpy.types.Scene.cats_update_action.defer.label,Remind me later,後で通知する,나중에 다시보기,稍后提醒
bpy.types.Scene.cats_update_action.defer.desc,Hides the update notification til the next Blender restart,,,隐藏更新通知，直至下次重启 Blender
DownloadTranslations.label,Download UI Translations,,,下载界面翻译
DownloadTranslations.desc,Downloads the latest UI translations. Disabled in this maintained fork.,,,下载最新界面翻译。维护版已禁用在线下载。
DownloadTranslations.disabled,Online translation downloads are disabled in this maintained fork.,,,维护版已禁用在线翻译下载。
BakePanel.autoTileSizeRecommended,"Enabling ""Auto Tile Size"" is recommended!",,,建议启用「Auto Tile Size」。
ConnectBonesButton.label,Connect Bones,,,连接骨骼
ConnectBonesButton.desc,Connects all bones with their respective children,,,将所有骨骼连接到各自的子骨骼。
ConnectBonesButton.success,Connected all bones!,,,已连接所有骨骼。
TestButton.label,Testing Stuff,,,测试工具
TestButton.desc,This is for tests by the devs only,,,仅供维护者测试使用。
TestButton.success,Test complete!,,,测试完成。
